principio_activo_buscado,categoria,producto_nombre_real,marca,farmacias_disponible,n_farmacias,precio_min,precio_max,url_ejemplo
Etinilestradiol/Clormadinona,anticonceptivo,Brunelle 2/0.03mg quifatex dist medicamenta comprimido recubierto,Brunelle,cruzazul|pharmacys,2,9.84,9.84,https://www.pharmacys.com.ec/brunelle-2-003mg-quifatex-dist-medicamenta-comprimido-recubierto/p
Etinilestradiol/Clormadinona,anticonceptivo,Brunelle Comprimidos Recubiertos 2/0.03 mg Caja 21 Unidades,BRUNELLE,medicity,1,7.87,7.87,https://www.farmaciasmedicity.com/brunelle-comprimidos-recubiertos-2--003-mg-cajas-con-21-unidades/p
Etinilestradiol/Clormadinona,anticonceptivo,Viora 20 Comprimidos Recubiertos 2/0.02 mg Caja 28 Unidades,VIORA,medicity,1,6.79,6.79,https://www.farmaciasmedicity.com/viora-20-comprimidos-recubiertos-2002-mg-caja-con-28-unidades/p
Etinilestradiol/Dienogest,anticonceptivo,Gianda Comprimidos 2/0.03 mg Caja con 21 Unidades,GIANDA,medicity,1,15.94,15.94,https://www.farmaciasmedicity.com/gianda-comprimidos-2003-mg-caja-con-21-unidades/p
Etinilestradiol/Dienogest,anticonceptivo,Sibilla Cd Comprimidos Recubiertos 2 / 0.03 mg Caja con 21+7 Unidades,SIBILLA,medicity,1,13.88,13.88,https://www.farmaciasmedicity.com/sibilla-cd-comprimidos-recubiertos-2--003-mg-caja-con-217-unidades/p
Etinilestradiol/Dienogest,anticonceptivo,Sibilla Comprimido Recubierto Caja 21 Unidades,SIBILLA,medicity,1,12.7,12.7,https://www.farmaciasmedicity.com/sibilla-comprimido-recubierto-caja-con-21-unidades/p
Etinilestradiol/Dienogest,anticonceptivo,Yael 0.03/2mg leterago - procaps tableta,Yael,cruzazul|pharmacys,2,14.5,14.5,https://www.pharmacys.com.ec/yael-003-2mg-leterago-roddome-tableta/p
Etinilestradiol/Drospirenona,anticonceptivo,Jolian Comprimidos Recubierto 3/0.02mg Caja 24+4 Unidades,JOLIAN,medicity,1,15.47,15.47,https://www.farmaciasmedicity.com/jolian-comprimidos-recubierto-3-0-02mg-caja-24-4-unidades-1/p
Etinilestradiol/Drospirenona,anticonceptivo,Mesames Comprimidos Recubiertos 3/0.03 mg Caja con 28 Unidades,MESAMES,medicity,1,9.24,9.24,https://www.farmaciasmedicity.com/mesames-comprimidos-recubiertos-3003-mg-caja-con-28-unidades/p
Etinilestradiol/Drospirenona,anticonceptivo,Nadine Com-Rec x3/0.03mg x21,Prudence,cruzazul|pharmacys,2,3.09,3.09,https://www.pharmacys.com.ec/nadine-com-rec-x3-0-03mg-x21/p
Etinilestradiol/Levonorgestrel,anticonceptivo,Anulette Comprimidos Recubiertos 0.15/0.03mg Caja 21 Unidades,ANULETTE,medicity,1,2.18,2.18,https://www.farmaciasmedicity.com/anulette-comprimidos-recubiertos-015--003-mg-caja-con-21-unidades/p
Etinilestradiol/Levonorgestrel,anticonceptivo,Microgynon CD Grageas 0.15/0.03 mg Caja 28 Unidades,MICROGYNON,medicity,1,3.03,3.03,https://www.farmaciasmedicity.com/microgynon-cd-grageas-015003-mg-caja-con-28-unidades/p
Etinilestradiol/Levonorgestrel,anticonceptivo,Microgynon Grageas 0.15/0.03mg Caja 21 Unidades,MICROGYNON,medicity,1,2.98,2.98,https://www.farmaciasmedicity.com/microgynon-grageas-015003-mg-caja-con-21-unidades/p
Etinilestradiol/Norelgestromina,anticonceptivo,Evra Parch Tran Caja con 3 Unidades,EVRA,medicity,1,17.39,17.39,https://www.farmaciasmedicity.com/evra-parch-tran-caja-con-3-unidades/p
Etonogestrel,anticonceptivo,Implanon 68mg organon,Implanon,cruzazul|pharmacys,2,60.55,60.55,https://www.pharmacys.com.ec/implanon-68mg-organon/p
Etonogestrel,anticonceptivo,Implanon Nxt Implante 68 mg 1 Unidad,IMPLANON NXT,medicity,1,60.55,60.55,https://www.farmaciasmedicity.com/implanon-nxt-implante-68-mg-1-unidad/p
Levonorgestrel emergencia,anticonceptivo,Damicocyn Tab x1.5mg x1,Damicocyn,cruzazul|pharmacys,2,6.89,6.89,https://www.pharmacys.com.ec/damicocyn-15mg-alianza-bonapharm/p
Levonorgestrel emergencia,anticonceptivo,Escapel comprimidos,Escapel,cruzazul|pharmacys,2,7.5,7.5,https://www.pharmacys.com.ec/escapel-comprimidos/p
Levonorgestrel emergencia,anticonceptivo,Tace 1 Tableta 1.5 mg  1 Unidad,TACE,medicity,1,6.03,6.03,https://www.farmaciasmedicity.com/tace-1-15mg-caja-con-1-tabletas/p
Medroxiprogesterona,anticonceptivo,Cyclofemina Suspensión Inyectable 25/5mg Prellenado 0.5 ml,CYCLOFEMINA,medicity,1,7.73,7.73,https://www.farmaciasmedicity.com/cyclofemina-suspension-inyectable-25--5-mg-prellenado-05-ml/p
Medroxiprogesterona,anticonceptivo,Provera Tabletas 10 mg Caja 10 Unidades,PROVERA,medicity,1,0.31,0.31,https://www.farmaciasmedicity.com/provera-tabletas-10-mg-caja-con-10-unidades/p
Noretisterona enantato/Estradiol valerato,anticonceptivo,Soluna 5 Solución Inyectable 50/5mg/ml Frasco 1 ml,SOLUNA 5,medicity,1,3.81,3.81,https://www.farmaciasmedicity.com/soluna-5-solucion-inyectable-50--5-mg--ml-frasco-con-1-ml/p
Atorvastatina,colesterol,Acrovastin Comprimido Recubierto Caja 30 Unidades,ACROVASTIN,medicity,1,1.03,1.03,https://www.farmaciasmedicity.com/acrovastin-comprimido-recubierto-caja-con-30-unidades/p
Atorvastatina,colesterol,Atormibe Tableta Recubierta 10/10mg Caja 30 Unidades,ATORMIBE,medicity,1,1.15,1.15,https://www.farmaciasmedicity.com/atormibe-tableta-recubierta-10-10mg-caja-30-unidades-1/p
Atorvastatina,colesterol,Atormibe Tabletas Recubiertas 20/10 mg Caja Con 30 Unidades,ATORMIBE,medicity,1,1.65,1.65,https://www.farmaciasmedicity.com/atormibe-tabletas-recubiertas-2010-mg-caja-con-30-unidades/p
Atorvastatina,colesterol,Atorvastatina 10 MG x 10,Atorvastatina,cruzazul|pharmacys,2,15.6,15.6,https://www.pharmacys.com.ec/atorvastatina-tab-rx10m-pa2lle3-lst/p
Atorvastatina,colesterol,Atorvastatina 20 MG x 10,Atorvastatina,cruzazul|pharmacys,2,22.4,22.4,https://www.pharmacys.com.ec/atorvastatina-tabx20mg-pag2lle3-lst/p
Atorvastatina,colesterol,Atorvastatina 20mg caplin point - generico tableta,Atorvastatina,cruzazul|pharmacys,2,33.6,33.6,https://www.pharmacys.com.ec/atorvastatina-20mg-caplin-point-generico-tableta/p
Atorvastatina,colesterol,Atorvastatina 20mg dyvenpro ecuagen tableta,Atorvastatina,cruzazul|pharmacys,2,11.2,11.2,https://www.pharmacys.com.ec/atorvastatina-20mg-dyvenpro-ecuagen-tableta/p
Atorvastatina,colesterol,Atorvastatina 20mg garcos - nifa genericos tableta,Atorvastatina,cruzazul|pharmacys,2,11.2,11.2,https://www.pharmacys.com.ec/atorvastatina-20mg-garcos-nifa-genericos-tableta/p
Atorvastatina,colesterol,Atorvastatina 40 mg x 10 Tabletas Recubiertas,Atorvastatina,cruzazul|pharmacys,2,18.5,18.5,https://www.pharmacys.com.ec/atorvastatina-40mg-la-sante-tabletas-recubiertas/p
Atorvastatina,colesterol,Atorvastatina 40mg dyvenpro ecuagen tableta,Atorvastatina,cruzazul|pharmacys,2,35.8,35.8,https://www.pharmacys.com.ec/atorvastatina-40mg-dyvenpro-ecuagen-tableta/p
Atorvastatina,colesterol,Atorvastatina 40mg garcos - nifa genericos tabletas recubiertas,Atorvastatina,cruzazul|pharmacys,2,18.5,18.5,https://www.pharmacys.com.ec/atorvastatina-40mg-garcos-nifa-genericos-tabletas-recubiertas/p
Atorvastatina,colesterol,Atorvastatina 80mg garcos - nifa genericos tabletas recubiertas,Atorvastatina,cruzazul|pharmacys,2,29.0,29.0,https://www.pharmacys.com.ec/atorvastatina-80mg-garcos-nifa-genericos-tabletas-recubiertas/p
Atorvastatina,colesterol,Atorvastatina Tabletas 10MG x 10,Atorvastatina,cruzazul|pharmacys,2,7.8,7.8,https://www.pharmacys.com.ec/atorvastatina-tabx10mgx10-lste/p
Atorvastatina,colesterol,Atrolip Tableta Recubierta 40 mg Caja 14 Unidades,ATROLIP,medicity,1,1.48,1.48,https://www.farmaciasmedicity.com/atrolip-tableta-recubierta-40-mg-caja-con-14-unidades/p
Atorvastatina,colesterol,Colmibe Comprimido 40/10mg Caja 30 Unidades,COLMIBE,medicity,1,1.96,1.96,https://www.farmaciasmedicity.com/purigi-panal-inf-ucare-diapers-xl-4-paquete-100-unidades-1/p
Atorvastatina,colesterol,Lipomega Cápsula Blanda 20 mg Caja 30 Unidades,LIPOMEGA,medicity,1,1.64,1.64,https://www.farmaciasmedicity.com/lipomega-capsula-blanda-20-mg-caja-30-unidades-1/p
Atorvastatina,colesterol,Tiazomet-A Tabletas Recubiertas 20mg+10mg Caja 30 Unidades,TIAZOMET,medicity,1,1.54,1.9,https://www.farmaciasmedicity.com/tiazomet-a-tabletas-recubiertas-20mg-10mg-caja-30-unidades-1/p
Ezetimiba,colesterol,Amilipol 10/20mg biogenet cápsulas,Amilipol,cruzazul|pharmacys,2,13.4,13.4,https://www.pharmacys.com.ec/amilipol-10-20mg-biogenet-capsulas/p
Fenofibrato,colesterol,Controlip Cápsulas 160 mg Caja Con 30 Unidades,CONTROLIP,medicity,1,0.59,0.59,https://www.farmaciasmedicity.com/controlip-capsulas-160-mg-caja-con-30-unidades/p
Fenofibrato,colesterol,Lipidil 200 m Cápsulas 200 mg Caja 20 Unidades,LIPIDIL,medicity,1,0.64,0.64,https://www.farmaciasmedicity.com/lipidil-200-m-capsulas-200-mg-caja-con-20-unidades/p
Fenofibrato,colesterol,Nortricol Fenofibrato Cápsula 200 mg Caja 20 Unidades,NORTRICOL FENOFIBRATO,medicity,1,0.64,0.64,https://www.farmaciasmedicity.com/nortricol-fenofibrato-capsula-200-mg-caja-20-unidades-1/p
Fenofibrato,colesterol,Trilipix Cápsulas 135 mg Liberación Prolongada Caja Con 30 Unidades,TRILIPIX,medicity,1,0.72,0.72,https://www.farmaciasmedicity.com/trilipix-capsulas-135-mg-liberacion-prolongada-caja-con-30-unidades/p
