principio_activo_buscado,farmacia,producto_nombre,marca,precio,precio_lista,categorias,url
Losartan/Hidroclorotiazida,medicity,Angioretic Forte Comprimido Recubierto 100/25 mg Con 20 Unidades,ANGIORETIC,0.97,1.05,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/angioretic-forte-comprimido-recubierto-10025-mg-con-20-unidades/p
Valsartan,pharmacys,Valaxam 160/10mg ecuaquimica - saval comprimido recubierto,Valaxam,30.0,30.0,/Medicinas/Genitourinario y Hormonas Sexuales/|/Medicinas/,https://www.pharmacys.com.ec/valaxam-160-10mg-ecuaquimica-saval-comprimido-recubierto/p
Valsartan,pharmacys,Valaxam 160/5mg ecuaquimica - saval comprimido recubierto,Valaxam,30.0,30.0,/Medicinas/Musculoesqueléticos/|/Medicinas/,https://www.pharmacys.com.ec/valaxam-160-5mg-ecuaquimica-saval-comprimido-recubierto/p
Valsartan,pharmacys,Valaxam 160/5/12.5mg ecuaquimica - saval comprimido recubierto,Valaxam,30.0,30.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/valaxam-160-5-125mg-ecuaquimica-saval-comprimido-recubierto/p
Valsartan,pharmacys,Terovan 26/24mg quifatex dist medicamenta terovan – inhibidor de neprilisina + ara ii,Terovan,54.0,54.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/terovan-26-24mg-quifatex-dist-medicamenta-terovan-inhibidor-/p
Valsartan,pharmacys,Terovan 51/49mg quifatex dist medicamenta terovan – inhibidor de neprilisina + ara ii,Terovan,108.0,108.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/terovan-51-49mg-quifatex-dist-medicamenta-terovan-inhibidor-/p
Valsartan,pharmacys,Terovan 200 Comprimidos REC 97/103MGx 60,Terovan,108.0,108.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/terovan-103-97mg-quifatex-dist-medicamenta-terovan-inhibidor/p
Valsartan,medicity,Valaxam-D Comprimidos Recubiertos 160mg+12.5mg+5mg Caja 30 Unidades,VALAXAM-D,0.92,1.0,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/valaxam-d-comprimidos-recubiertos-160mg-12-5mg-5mg-caja-30-unidades-1/p
Valsartan,medicity,Entresto Comprimidos Recubiertas 50 mg Caja 30 Unidades,ENTRESTO,1.49,1.8,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/entresto-comprimidos-recubiertas-50-mg-caja-30-unidades-1/p
Valsartan,medicity,Terovan Comprimido Recubierto 24mg/26mg Caja 30 Unidades,TEROVAN,37.8,54.0,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/terovan-comprimido-recubierto-24mg-26mg-caja-30-unidades-1/p
